"status","category","sourceName","dbName","sourcePrice","dbPrice","notes"
"OK","Lanches","X-Burguer","X-Burguer","12.00","12.00",""
"OK","Lanches","X-Salada","X-Salada","14.00","14.00",""
"OK","Lanches","X-Bacon","X-Bacon","17.50","17.50",""
"OK","Lanches","X-Frango","X-Frango","17.50","17.50",""
"OK","Lanches","X-Egg","X-Egg","17.50","17.50",""
"OK","Lanches","X-Calabresa","X-Calabresa","17.50","17.50",""
"OK","Lanches","X-Tudo","X-Tudo","30.00","30.00",""
"OK","Lanches","X-No Prato","X-No Prato","35.00","35.00",""
"OK","Lanches","Misto Quente","Misto Quente","7.00","7.00",""
"OK","Lanches","Bauru","Bauru","12.00","12.00",""
"OK","Lanches","Omelete","Omelete","14.00","14.00",""
"OK","Combo Lanches","X-Salada + suco natural 300ml + fritas","X-Salada + suco natural 300ml + fritas","27.00","27.00",""
"OK","Combo Lanches","X-Egg + suco natural 300ml + fritas","X-Egg + suco natural 300ml + fritas","29.00","29.00",""
"OK","Combo Lanches","X-Bacon + suco natural 300ml + fritas","X-Bacon + suco natural 300ml + fritas","29.00","29.00",""
"OK","Combo Lanches","X-Frango + suco natural 300ml + fritas","X-Frango + suco natural 300ml + fritas","29.00","29.00",""
"OK","Combo Lanches","X-Calabresa + suco natural 300ml + fritas","X-Calabresa + suco natural 300ml + fritas","29.00","29.00",""
"OK","Lanches Artesanais","Artesanal Tradicional Simples","Artesanal Tradicional Simples","16.00","16.00",""
"OK","Lanches Artesanais","Tradicional","Tradicional","18.00","18.00",""
"OK","Lanches Artesanais","Artesanal Bacon","Artesanal Bacon","24.00","24.00",""
"OK","Lanches Artesanais","Artesanal Calabresa","Artesanal Calabresa","24.00","24.00",""
"OK","Lanches Artesanais","X-Alcatra","X-Alcatra","28.00","28.00",""
"OK","Lanches Artesanais","Artesanal Duplo","Artesanal Duplo","28.00","28.00",""
"OK","Combos Artesanais","Combo Artesanal Tradicional","Combo Artesanal Tradicional","34.00","34.00",""
"OK","Combos Artesanais","Combo Artesanal Bacon","Combo Artesanal Bacon","40.00","40.00",""
"OK","Combos Artesanais","Combo Artesanal Calabresa","Combo Artesanal Calabresa","40.00","40.00",""
"OK","Combos Artesanais","Combo Artesanal Duplo","Combo Artesanal Duplo","44.00","44.00",""
"OK","Pastel Salgado","Carne","Carne","7.00","7.00",""
"OK","Pastel Salgado","Queijo","Queijo","7.00","7.00",""
"OK","Pastel Salgado","Pizza","Pizza","7.00","7.00",""
"OK","Pastel Salgado","Frango","Frango","7.00","7.00",""
"OK","Pastel Salgado","Queijo e Presunto","Queijo e Presunto","7.00","7.00",""
"OK","Pastel Doce","Chocolate com morango","Chocolate com morango","12.00","12.00",""
"OK","Pastel Doce","Chocolate branco c/ morango","Chocolate branco c/ morango","12.00","12.00",""
"OK","Pastel Doce","Banana c/ canela e leite condensado","Banana c/ canela e leite condensado","12.00","12.00",""
"OK","Pastel Doce","Prestigio","Prestigio","12.00","12.00",""
"OK","Pastel Doce","Queijo com goiabada","Queijo com goiabada","12.00","12.00",""
"OK","Pastel Especial","Carne com ovo","Carne com ovo","12.00","12.00",""
"OK","Pastel Especial","Carne com queijo e milho","Carne com queijo e milho","12.00","12.00",""
"OK","Pastel Especial","Carne com queijo e ovo","Carne com queijo e ovo","15.00","15.00",""
"OK","Pastel Especial","Frango com catupiry ou cheddar","Frango com catupiry ou cheddar","12.00","12.00",""
"OK","Pastel Especial","Frango com queijo","Frango com queijo","12.00","12.00",""
"OK","Pastel Especial","Frango com queijo e ovo","Frango com queijo e ovo","15.00","15.00",""
"OK","Pastel Especial","Especial","Especial","30.00","30.00",""
"OK","Tapioca Salgada","Natural","Natural","5.00","5.00",""
"OK","Tapioca Salgada","Pizza","Pizza","14.00","14.00",""
"OK","Tapioca Salgada","Frango","Frango","14.00","14.00",""
"OK","Tapioca Salgada","Da Casa","Da Casa","14.00","14.00",""
"OK","Tapioca Salgada","Italiana","Italiana","14.00","14.00",""
"OK","Tapioca Salgada","Calabresa com catupiry","Calabresa com catupiry","14.00","14.00",""
"OK","Tapioca Salgada","Carne moida com queijo","Carne moida com queijo","14.00","14.00",""
"OK","Tapioca Salgada","Ovo com queijo","Ovo com queijo","14.00","14.00",""
"OK","Tapioca Doce","Baianinha","Baianinha","14.00","14.00",""
"OK","Tapioca Doce","Uva com chocolate","Uva com chocolate","14.00","14.00",""
"OK","Tapioca Doce","Banana com canela","Banana com canela","14.00","14.00",""
"OK","Tapioca Doce","Prestigio","Prestigio","14.00","14.00",""
"OK","Tapioca Doce","Sensacao","Sensacao","14.00","14.00",""
"OK","Tapioca Doce","Ouro Branco","Ouro Branco","14.00","14.00",""
"OK","Tapioca Doce","Ouro Branco com nutella","Ouro Branco com nutella","17.00","17.00",""
"OK","Tapioca Doce","Sonho de Valsa","Sonho de Valsa","14.00","14.00",""
"OK","Tapioca Doce","Sonho de Valsa com nutella","Sonho de Valsa com nutella","17.00","17.00",""
"OK","Tapioca Doce","Romeu e Julieta","Romeu e Julieta","14.00","14.00",""
"OK","Tapioca Doce","Chocolate com morango","Chocolate com morango","14.00","14.00",""
"OK","Tapioca Doce","Chocolate branco c/ morango","Chocolate branco c/ morango","14.00","14.00",""
"OK","Salgados","Coxinha pequena de frango","Coxinha pequena de frango","6.00","6.00",""
"OK","Salgados","Risoles pequeno de carne","Risoles pequeno de carne","6.00","6.00",""
"OK","Salgados","Risoles pequeno de queijo e presunto","Risoles pequeno de queijo e presunto","6.00","6.00",""
"OK","Salgados","Enroladinho de vina pequeno","Enroladinho de vina pequeno","6.50","6.50",""
"OK","Salgados","Coxinha grande de frango com cheddar","Coxinha grande de frango com cheddar","10.50","10.50",""
"OK","Salgados","Coxinha grande de frango com requeijao","Coxinha grande de frango com requeijao","10.50","10.50",""
"OK","Salgados","Coxinha grande de frango","Coxinha grande de frango","9.50","9.50",""
"OK","Salgados","Risoles grande de carne","Risoles grande de carne","9.50","9.50",""
"OK","Salgados","Risoles grande de queijo e presunto","Risoles grande de queijo e presunto","9.50","9.50",""
"OK","Salgados","Enroladinho de vina grande","Enroladinho de vina grande","9.50","9.50",""
"OK","Salgados","Espeto de frango","Espeto de frango","7.50","7.50",""
"OK","Salgados","Assado de vina com cheddar","Assado de vina com cheddar","10.00","10.00",""
"OK","Salgados","Assado de vina com catupiry","Assado de vina com catupiry","10.00","10.00",""
"OK","Salgados","Assado de Hamburgao com cheddar","Assado de Hamburgao com cheddar","11.00","11.00",""
"OK","Salgados","Assado de Hamburgao com catupiry","Assado de Hamburgao com catupiry","11.00","11.00",""
"OK","Salgados","Assado de carne moida","Assado de carne moida","10.00","10.00",""
"OK","Salgados","Assado de queijo e presunto","Assado de queijo e presunto","10.00","10.00",""
"OK","Salgados","Assado de frango com catupiry","Assado de frango com catupiry","11.00","11.00",""
"OK","Salgados","Assado de frango com cheddar","Assado de frango com cheddar","11.00","11.00",""
"OK","Acai","Acai 240ml","Acai 240ml","13.00","13.00",""
"OK","Acai","Acai 360ml","Acai 360ml","18.00","18.00",""
"OK","Acai","Acai 500ml","Acai 500ml","22.00","22.00",""
"FALTANDO_NO_BANCO","Acai","Barca pequena","","","","Aparece no cardapio fisico; preco ilegivel na foto."
"FALTANDO_NO_BANCO","Acai","Barca grande","","","","Aparece no cardapio fisico; preco ilegivel na foto."
"OK","Almoço","Contrafilé","Contrafilé","32.00","32.00",""
"OK","Almoço","Bife à parmegiana","Bife à parmegiana","18.00","18.00",""
"OK","Almoço","Bife à cavalo","Bife à cavalo","18.00","18.00",""
"OK","Almoço","Frango ao molho","Frango ao molho","15.00","15.00",""
"OK","Almoço","Frango à milanesa","Frango à milanesa","15.00","15.00",""
"OK","Almoço","Carne de panela","Carne de panela","15.00","15.00",""
"OK","Almoço","Strogonoff","Strogonoff","15.00","15.00",""
"OK","Almoço","Coxa e sobrecoxa assada","Coxa e sobrecoxa assada","15.00","15.00",""
"OK","Almoço","Feijoada","Feijoada","15.00","15.00",""